name,company_name,price,stock
5023510201,盐城新连接电子信息科技有限公司,0,30000
0533981271,盐城新连接电子信息科技有限公司,0,35000
0469930411,盐城新连接电子信息科技有限公司,0,16500
0039000048,盐城新连接电子信息科技有限公司,0,66000
0039012106,盐城新连接电子信息科技有限公司,0,4000
0430300005,盐城新连接电子信息科技有限公司,0,84000
0313721600,盐城新连接电子信息科技有限公司,0,12096
0039000047,盐城新连接电子信息科技有限公司,0,16000
0500588000,盐城新连接电子信息科技有限公司,0,150000
0022013067,盐城新连接电子信息科技有限公司,0,10000
0022013067,盐城新连接电子信息科技有限公司,0,20000
0350220006,盐城新连接电子信息科技有限公司,0,40000
0430250200,盐城新连接电子信息科技有限公司,0,100000
5040511001,盐城新连接电子信息科技有限公司,0,40000
5051538000,盐城新连接电子信息科技有限公司,0,600000
5600850101,盐城新连接电子信息科技有限公司,0,288000
0874210000,盐城新连接电子信息科技有限公司,0,1040000
0512270600,盐城新连接电子信息科技有限公司,0,20000
0469920610,盐城新连接电子信息科技有限公司,0,64000
0643221029,盐城新连接电子信息科技有限公司,0,172500
0039000077,盐城新连接电子信息科技有限公司,0,208000
0039013043,盐城新连接电子信息科技有限公司,0,22000
0500398000,盐城新连接电子信息科技有限公司,0,32000
0533980271,盐城新连接电子信息科技有限公司,0,11200
5055700301,盐城新连接电子信息科技有限公司,0,12000
0533981071,盐城新连接电子信息科技有限公司,0,8400
0533981071,盐城新连接电子信息科技有限公司,0,16800
